Id de la recette (non contractuel),Nom de la recette,Catégories,Saison,Régime alimentaire,Ingrédients,Source,Fourchette de prix,Niveau de difficulté
11,Pain perdu,Petit déjeuner,"Hiver, Printemps, Été, Automne",Végétarien,"[{'name': 'Pain (aliment moyen)', 'recipe_quantity': '6', 'recipe_unity': 'Unité', 'purchase_quantity': '6', 'purchase_unity': 'Unité'}, {'name': 'Lait demi-écrémé, UHT', 'recipe_quantity': '10', 'recipe_unity': 'Cl', 'purchase_quantity': '10', 'purchase_unity': 'Cl'}, {'name': 'Sucre blanc', 'recipe_quantity': '2', 'recipe_unity': 'Cuillère à soupe', 'purchase_quantity': '0', 'purchase_unity': 'Null'}, {'name': 'Beurre doux', 'recipe_quantity': '5', 'recipe_unity': 'Gr', 'purchase_quantity': '5', 'purchase_unity': 'Gr'}, {'name': 'Oeuf, cru', 'recipe_quantity': '2', 'recipe_unity': 'Unité', 'purchase_quantity': '2', 'purchase_unity': 'Unité'}]",Le journal des femmes,Petit budget,Facile
12,Pâte à tartiner maison,Petit déjeuner,"Hiver, Printemps, Été, Automne","Omnivore, Végétarien","[{'name': 'Noisette', 'recipe_quantity': '100', 'recipe_unity': 'Gr', 'purchase_quantity': '100', 'purchase_unity': 'Gr'}, {'name': 'Amande (avec peau)', 'recipe_quantity': '100', 'recipe_unity': 'Gr', 'purchase_quantity': '100', 'purchase_unity': 'Gr'}, {'name': ""Sirop d'agave"", 'recipe_quantity': '60', 'recipe_unity': 'Gr', 'purchase_quantity': '60', 'purchase_unity': 'Gr'}, {'name': 'Chocolat au lait, tablette', 'recipe_quantity': '150', 'recipe_unity': 'Gr', 'purchase_quantity': '150', 'purchase_unity': 'Gr'}, {'name': 'Lait demi-écrémé, UHT', 'recipe_quantity': '5', 'recipe_unity': 'Cl', 'purchase_quantity': '5', 'purchase_unity': 'Cl'}, {'name': 'Huile de noisette', 'recipe_quantity': '2', 'recipe_unity': 'Cuillère à soupe', 'purchase_quantity': '0', 'purchase_unity': 'Null'}]",Cuisine actuelle,Petit budget,Facile
13,Porridge,Petit déjeuner,Hiver,Végétarien,"[{'name': 'Lait demi-écrémé, UHT', 'recipe_quantity': '15', 'recipe_unity': 'Cl', 'purchase_quantity': '15', 'purchase_unity': 'Cl'}, {'name': ""Flocon d'avoine"", 'recipe_quantity': '40', 'recipe_unity': 'Gr', 'purchase_quantity': '40', 'purchase_unity': 'Gr'}, {'name': ""Sirop d'érable"", 'recipe_quantity': '1', 'recipe_unity': 'Cuillère à soupe', 'purchase_quantity': '0', 'purchase_unity': 'Null'}, {'name': 'Amande (avec peau)', 'recipe_quantity': '20', 'recipe_unity': 'Gr', 'purchase_quantity': '20', 'purchase_unity': 'Gr'}]",Les conseils de Cam',Petit budget,Facile
14,Salade de chèvre chaud,Entrée,"Hiver, Printemps, Été, Automne",Végétarien,"[{'name': 'Moutarde', 'recipe_quantity': '1', 'recipe_unity': 'Cuillère à café', 'purchase_quantity': '0', 'purchase_unity': 'Null'}, {'name': 'Vinaigre', 'recipe_quantity': '1', 'recipe_unity': 'Cuillère à soupe', 'purchase_quantity': '0', 'purchase_unity': 'Null'}, {'name': 'Herbes de Provence, séchées', 'recipe_quantity': '1', 'recipe_unity': 'Unité', 'purchase_quantity': '1', 'purchase_unity': 'Unité'}, {'name': 'Mâche, crue', 'recipe_quantity': '600', 'recipe_unity': 'Gr', 'purchase_quantity': '600', 'purchase_unity': 'Gr'}, {'name': 'Fromage de chèvre lactique affiné, au lait pasteurisé (type bûchette ou crottin)', 'recipe_quantity': '150', 'recipe_unity': 'Gr', 'purchase_quantity': '150', 'purchase_unity': 'Gr'}, {'name': 'Pain (aliment moyen)', 'recipe_quantity': '2', 'recipe_unity': 'Unité', 'purchase_quantity': '2', 'purchase_unity': 'Unité'}, {'name': ""Huile d'olive vierge extra"", 'recipe_quantity': '2', 'recipe_unity': 'Cuillère à soupe', 'purchase_quantity': '0', 'purchase_unity': 'Null'}]",Personnelle,Petit budget,Facile
15,"Salade betteraves, feta",Entrée,Hiver,Végétarien,"[{'name': 'Betterave rouge, cuite', 'recipe_quantity': '2', 'recipe_unity': 'Unité', 'purchase_quantity': '2', 'purchase_unity': 'Unité'}, {'name': 'Persil, frais', 'recipe_quantity': '10', 'recipe_unity': 'Gr', 'purchase_quantity': '10', 'purchase_unity': 'Gr'}, {'name': ""Huile d'olive vierge extra"", 'recipe_quantity': '1', 'recipe_unity': 'Cuillère à soupe', 'purchase_quantity': '0', 'purchase_unity': 'Null'}, {'name': 'Feta de brebis', 'recipe_quantity': '100', 'recipe_unity': 'Gr', 'purchase_quantity': '100', 'purchase_unity': 'Gr'}]",Personnelle,Petit budget,Facile
16,Fromage blanc complet,Petit déjeuner,"Hiver, Printemps, Été, Automne",Végétarien,"[{'name': 'Banane plantain, crue', 'recipe_quantity': '1', 'recipe_unity': 'Unité', 'purchase_quantity': '1', 'purchase_unity': 'Unité'}, {'name': 'Fromage blanc nature ou aux fruits (aliment moyen)', 'recipe_quantity': '125', 'recipe_unity': 'Gr', 'purchase_quantity': '125', 'purchase_unity': 'Gr'}, {'name': 'Muesli (aliment moyen)', 'recipe_quantity': '40', 'recipe_unity': 'Gr', 'purchase_quantity': '40', 'purchase_unity': 'Gr'}]",Personnelle,Petit budget,Facile
17,Tomates Mozzarella,Entrée,Été,Végétarien,"[{'name': 'Tomate, crue', 'recipe_quantity': '2', 'recipe_unity': 'Unité', 'purchase_quantity': '2', 'purchase_unity': 'Unité'}, {'name': 'Mozzarella au lait de vache', 'recipe_quantity': '1', 'recipe_unity': 'Unité', 'purchase_quantity': '1', 'purchase_unity': 'Unité'}, {'name': ""Huile d'olive vierge extra"", 'recipe_quantity': '1', 'recipe_unity': 'Cuillère à soupe', 'purchase_quantity': '0', 'purchase_unity': 'Null'}, {'name': 'Basilic, frais', 'recipe_quantity': '1', 'recipe_unity': 'Unité', 'purchase_quantity': '1', 'purchase_unity': 'Unité'}]",Personnelle,Petit budget,Facile
18,Salade d'endives au roquefort,Entrée,Hiver,Végétarien,"[{'name': 'Endive, crue', 'recipe_quantity': '3', 'recipe_unity': 'Unité', 'purchase_quantity': '3', 'purchase_unity': 'Unité'}, {'name': 'Roquefort', 'recipe_quantity': '100', 'recipe_unity': 'Gr', 'purchase_quantity': '100', 'purchase_unity': 'Gr'}, {'name': 'Noix, séchée, cerneaux', 'recipe_quantity': '50', 'recipe_unity': 'Gr', 'purchase_quantity': '50', 'purchase_unity': 'Gr'}, {'name': 'Vinaigre', 'recipe_quantity': '1', 'recipe_unity': 'Cuillère à soupe', 'purchase_quantity': '0', 'purchase_unity': 'Null'}, {'name': ""Huile d'olive vierge extra"", 'recipe_quantity': '2', 'recipe_unity': 'Cuillère à soupe', 'purchase_quantity': '0', 'purchase_unity': 'Null'}, {'name': 'Moutarde', 'recipe_quantity': '1', 'recipe_unity': 'Cuillère à soupe', 'purchase_quantity': '0', 'purchase_unity': 'Null'}]",Personnelle,Moyen budget,Facile
19,Tartine banane chocolat,Petit déjeuner,"Hiver, Printemps, Été, Automne",Végétarien,"[{'name': 'Pain (aliment moyen)', 'recipe_quantity': '2', 'recipe_unity': 'Unité', 'purchase_quantity': '2', 'purchase_unity': 'Unité'}, {'name': 'Banane plantain, crue', 'recipe_quantity': '1', 'recipe_unity': 'Unité', 'purchase_quantity': '1', 'purchase_unity': 'Unité'}, {'name': 'Cacao, non sucré, poudre soluble', 'recipe_quantity': '2', 'recipe_unity': 'Cuillère à soupe', 'purchase_quantity': '0', 'purchase_unity': 'Null'}]",Personnelle,Petit budget,Facile
20,Granola maison,Petit déjeuner,"Hiver, Printemps, Été, Automne","Végétarien, Végan","[{'name': ""Flocon d'avoine"", 'recipe_quantity': '250', 'recipe_unity': 'Gr', 'purchase_quantity': '250', 'purchase_unity': 'Gr'}, {'name': 'Noisette', 'recipe_quantity': '25', 'recipe_unity': 'Gr', 'purchase_quantity': '25', 'purchase_unity': 'Gr'}, {'name': 'Amande (avec peau)', 'recipe_quantity': '25', 'recipe_unity': 'Gr', 'purchase_quantity': '25', 'purchase_unity': 'Gr'}, {'name': 'Tournesol, graine', 'recipe_quantity': '50', 'recipe_unity': 'Gr', 'purchase_quantity': '50', 'purchase_unity': 'Gr'}, {'name': 'Miel', 'recipe_quantity': '3', 'recipe_unity': 'Cuillère à soupe', 'purchase_quantity': '0', 'purchase_unity': 'Null'}]",Personnelle,Moyen budget,Facile
21,Avocado Toast,Entrée,"Hiver, Printemps, Été, Automne",Végétarien,"[{'name': 'Pain (aliment moyen)', 'recipe_quantity': '2', 'recipe_unity': 'Unité', 'purchase_quantity': '2', 'purchase_unity': 'Unité'}, {'name': 'Fromage à tartiner ou coque fromagère', 'recipe_quantity': '50', 'recipe_unity': 'Gr', 'purchase_quantity': '50', 'purchase_unity': 'Gr'}, {'name': 'Citron entier', 'recipe_quantity': '1', 'recipe_unity': 'Unité', 'purchase_quantity': '1', 'purchase_unity': 'Unité'}, {'name': 'Avocat entier', 'recipe_quantity': '1', 'recipe_unity': 'Unité', 'purchase_quantity': '1', 'purchase_unity': 'Unité'}]",Personnelle,Petit budget,Facile
22,Lait d'amande maison,Petit déjeuner,"Hiver, Printemps, Été, Automne","Végétarien, Végan","[{'name': 'Amande, mondée, émondée ou blanchie', 'recipe_quantity': '130', 'recipe_unity': 'Gr', 'purchase_quantity': '130', 'purchase_unity': 'Gr'}, {'name': 'Datte, pulpe & peau, sèche', 'recipe_quantity': '4', 'recipe_unity': 'Unité', 'purchase_quantity': '4', 'purchase_unity': 'Unité'}, {'name': 'Eau du robinet', 'recipe_quantity': '45', 'recipe_unity': 'Cl', 'purchase_quantity': '45', 'purchase_unity': 'Cl'}, {'name': 'Sel fin', 'recipe_quantity': '1', 'recipe_unity': 'Unité', 'purchase_quantity': '1', 'purchase_unity': 'Unité'}]",Madame Figaro,Moyen budget,Facile
23,Salade pamplemousse avocat crevettes,Entrée,"Hiver, Printemps, Été","Omnivore, Végétarien","[{'name': 'Avocat entier', 'recipe_quantity': '1', 'recipe_unity': 'Unité', 'purchase_quantity': '1', 'purchase_unity': 'Unité'}, {'name': 'Pomelo (dit Pamplemousse), pulpe, cru', 'recipe_quantity': '1', 'recipe_unity': 'Unité', 'purchase_quantity': '1', 'purchase_unity': 'Unité'}, {'name': 'Citron vert ou Lime, pulpe, cru', 'recipe_quantity': '1', 'recipe_unity': 'Unité', 'purchase_quantity': '1', 'purchase_unity': 'Unité'}, {'name': 'Crevette, cuite', 'recipe_quantity': '200', 'recipe_unity': 'Gr', 'purchase_quantity': '200', 'purchase_unity': 'Gr'}]",Personnelle,Moyen budget,Facile
24,Aumonières bricks poireaux gouda,Entrée,Hiver,Végétarien,"[{'name': 'Crème fraîche, 30% MG, semi-épaisse, UHT', 'recipe_quantity': '10', 'recipe_unity': 'Cl', 'purchase_quantity': '10', 'purchase_unity': 'Cl'}, {'name': 'Poireau, cru', 'recipe_quantity': '2', 'recipe_unity': 'Unité', 'purchase_quantity': '2', 'purchase_unity': 'Unité'}, {'name': 'Gouda', 'recipe_quantity': '100', 'recipe_unity': 'Gr', 'purchase_quantity': '100', 'purchase_unity': 'Gr'}, {'name': ""Huile d'olive vierge extra"", 'recipe_quantity': '1', 'recipe_unity': 'Cuillère à soupe', 'purchase_quantity': '0', 'purchase_unity': 'Null'}, {'name': 'Feuilles de brick', 'recipe_quantity': '4', 'recipe_unity': 'Unité', 'purchase_quantity': '4', 'purchase_unity': 'Unité'}]",None,Moyen budget,Facile
25,Egg muffin,Petit déjeuner,"Hiver, Printemps, Été, Automne","Omnivore, Flexitarien","[{'name': 'Muffin anglais, complet, petit pain spécial, préemballé', 'recipe_quantity': '1', 'recipe_unity': 'Unité', 'purchase_quantity': '1', 'purchase_unity': 'Unité'}, {'name': 'Oeuf, cru', 'recipe_quantity': '1', 'recipe_unity': 'Unité', 'purchase_quantity': '1', 'purchase_unity': 'Unité'}, {'name': 'Tranche de bacon', 'recipe_quantity': '20', 'recipe_unity': 'Gr', 'purchase_quantity': '20', 'purchase_unity': 'Gr'}]",Les conseils de Cam',Petit budget,Facile
26,Velouté de carottes au cumin,Entrée,Hiver,Végétarien,"[{'name': 'Carotte, crue', 'recipe_quantity': '900', 'recipe_unity': 'Gr', 'purchase_quantity': '900', 'purchase_unity': 'Gr'}, {'name': 'Pomme de terre, sans peau, crue', 'recipe_quantity': '160', 'recipe_unity': 'Gr', 'purchase_quantity': '160', 'purchase_unity': 'Gr'}, {'name': 'Oignon, cru', 'recipe_quantity': '1', 'recipe_unity': 'Unité', 'purchase_quantity': '1', 'purchase_unity': 'Unité'}, {'name': 'Crème fraîche, 30% MG, semi-épaisse, UHT', 'recipe_quantity': '20', 'recipe_unity': 'Cl', 'purchase_quantity': '20', 'purchase_unity': 'Cl'}, {'name': 'Bouillon de viande & légumes type pot-au-feu, déshydraté', 'recipe_quantity': '1', 'recipe_unity': 'Unité', 'purchase_quantity': '1', 'purchase_unity': 'Unité'}, {'name': ""Huile d'olive vierge extra"", 'recipe_quantity': '1', 'recipe_unity': 'Cuillère à soupe', 'purchase_quantity': '0', 'purchase_unity': 'Null'}, {'name': 'Cumin, graine', 'recipe_quantity': '1', 'recipe_unity': 'Cuillère à café', 'purchase_quantity': '0', 'purchase_unity': 'Null'}]",Personnelle,Petit budget,Facile
27,test pincé,"Entrée, Plat principal","Hiver, Printemps, Été","Flexitarien, Paléo","[{'name': 'Jus de mangue, frais', 'recipe_quantity': '1', 'recipe_unity': 'Pincée', 'purchase_quantity': '1', 'purchase_unity': 'Gr'}, {'name': 'Sel blanc alimentaire, non iodé, non fluoré (marin, ignigène ou gemme)', 'recipe_quantity': '2', 'recipe_unity': 'Pincée', 'purchase_quantity': '2', 'purchase_unity': 'Gr'}]",net,Moyen budget,Facile
29,test allerg,"Plat principal, Fast food, Petit déjeuner","Printemps, Été, Automne","Omnivore, Végétarien, Végan","[{'name': 'Salade verte, crue, sans assaisonnement', 'recipe_quantity': '1', 'recipe_unity': 'Pincée', 'purchase_quantity': '1', 'purchase_unity': 'Gr'}]",net,Petit budget,Facile
31,test sans allergie,Entrée,Printemps,Végétarien,"[{'name': 'Salade verte, crue, sans assaisonnement', 'recipe_quantity': '1', 'recipe_unity': 'Pincée', 'purchase_quantity': '1', 'purchase_unity': 'Gr'}]",net,Moyen budget,Moyen
